define;sd
MCL_FUTURE;2
FN_DEVCHAR;5
HAVE_PREAD;11
MYSQL_ABI_CHECK;4
HAVE_STRLCPY;2
MY_PTHREAD_FASTMUTEX;8
__IBMCPP__;1
LOBLK;1
AMIGA;1
FLEXINT_H;13
USE_SUN_PREFETCH;3
RB_AUGMENT;2
DISABLE_PSI_RWLOCK;1
FT_CORE;1
__USLC__;2
HAVE_SETFD;2
HAVE_ATOMIC_H;2
__linux__;8
REDEBUG;5
HAVE_TERMCAP_H;1
HAVE_PSI_STAGE_INTERFACE;2
__50SERIES;1
CEOF;1
UNIV_BLOB_DEBUG;4
CEOL;1
HA_FT_MAXLEN;2
HAVE_NONPOSIX_PTHREAD_MUTEX_INIT;4
HAVE_CUSERID;2
HAVE_DECL_FDATASYNC;4
sun;1
CSTATUS;1
PFS_MAX_MUTEX_CLASS;1
__MSDOS__;1
__powerpc64__;13
set_timespec_nsec;1
public;1
HAVE_GETADDRINFO;5
MY_ATOMIC_MODE_RWLOCKS;2
HAVE_FENV_H;1
_AIX;13
_MSC_VER;64
OPTIMIZER_TRACE;4
SCCSID;3
ZLIB_INTERNAL;4
HAVE_STDBOOL_H;5
NOFLSH;1
HAVE_GETPAGESIZE;5
UNCTRL;1
VEOL2;3
HAVE_NL_LANGINFO;1
THINK_C;1
verbose;1
HAVE_GETWD;3
Check_FLT_ROUNDS;2
HAVE_STRTOULL;2
HAVE_PTHREAD_YIELD_NP;2
EMBEDDED_LIBRARY;24
__SMALL__;3
CDSWTCH;1
BACKTRACE_DEMANGLE;2
__weak_alias;2
__MVS__;2
MYSQLD_NET_RETRY_COUNT;1
HAVE_SYS_SOCKET_H;1
MCL_CURRENT;4
set_timespec_time_nsec;1
HAVE_LLVM_LIBCPP;2
FN_NETWORK_DRIVES;1
notdef;4
TZ_MAX_CHARS;1
__STDC_EXT__;1
INT32_MIN;1
HAVE_REALPATH;4
STATIC_ASSERT;3
BUILDFIXED;3
HAVE_GMTIME_R;4
HAVE_SCHED_GET_PRIORITY_MAX;2
UNIV_SEARCH_PERF_STAT;1
alpha_linux_port;3
NO_DUMMY_DECL;2
HAVE_CHARSET_macce;1
COMPILE_STOPWORDS_IN;1
_some_old_compiler_that_does_not_understand_the_construct_below_;2
queue_replaced;1
HAVE_ABI_CXA_DEMANGLE;1
XTABS;2
STDC99;3
__need_IOV_MAX;1
HAVE_PTHREAD_ATTR_CREATE;3
CPGOFF;1
O_BINARY;1
inline;1
HAVE_FAKE_PAUSE_INSTRUCTION;4
NDB_VC98;2
MIN;1
VERASE;3
NO_CPLUSPLUS_ALLOCA;1
i386;1
EAGAIN;3
OPTIMIZER_SWITCH_ALL;2
_lint;18
VSUSP;3
_KERNEL;7
MESSAGE_DEBUG;1
__sparc__;15
P_MYID;1
CHECK_KEYS;1
__GXX_EXPERIMENTAL_CXX0X__;2
UNIV_SQL_DEBUG;1
PSI_SOCKET_CALL;1
USE_HALLOC;3
TZ_MAX_REV_RANGES;3
MAXSEG_64K;6
NO_EMBEDDED_ACCESS_CHECKS;6
SYS16BIT;11
strmov;3
INNODB_COMPATIBILITY_HOOKS;1
UNCOMMENT_THIS_WHEN_WL_4579_IS_DONE;2
OPOST;1
SABER;1
SAFE_STATISTICS;2
PFS_MAX_COND_CLASS;1
pthread_attr_setstacksize;2
__x86_64__;49
DNS_USE_FTIME_FOR_ID;2
VSTAT;1
labs;1
ATARI;1
__sparcv9;17
ER;1
HAVE_PTHREAD_ATTR_GETGUARDSIZE;1
PSI_MUTEX_CALL;1
__win32_os;3
MI_MAX_KEY;2
DEBUG_SCREEN;1
DEBUG_OUTPUT;2
LOCK_TYPE_MASK;2
AF_UNIX;1
DISABLE_DTRACE;2
FASTEST;11
WT_RWLOCKS_USE_MUTEXES;2
HAVE_SYS_STREAM_H;1
HAVE_M_PSI_PER_PARTITION;1
MYSQL_YACC;4
CDSUSP;1
Z_PRINTF_BUFSIZE;1
UNIV_LOG_LSN_DEBUG;1
WORDS_BIGENDIAN;10
DISABLE_PSI_THREAD;1
CKILL;1
TZ_MAX_LEAPS;1
_POSIX_MONOTONIC_CLOCK;2
PAGE_ZIP_SSIZE_MAX;1
vsnprintf;1
__TURBOC__;8
YY_EXTRA_TYPE;1
strtok_r;1
UNIV_PAGE_SIZE_MIN;1
WITH_PERFSCHEMA_STORAGE_ENGINE;1
_HPUX_SOURCE;1
__BEGIN_DECLS;3
ASMINF;5
UNALIGNED_OK;4
DISABLE_PSI_IDLE;1
LINUX_NATIVE_AIO;1
F_FULLFSYNC;1
HAVE_PTHREAD_ATTR_SETSCOPE;1
PTHREAD_SCOPE_GLOBAL;1
HAVE_CHARSET_hebrew;1
USE_ALARM_THREAD;10
RISCOS;1
__ppc__;9
NOBYFOUR;8
VOID;1
HAVE_rts_threads;9
CLOCK_SGI_CYCLE;3
HAVE_CHARSET_swe7;1
__bsdi__;3
VDSUSP;3
_POSIX_TIMERS;4
CKILL2;1
DEBUG_READ;1
HAVE_FDATASYNC;4
STDC;49
VDISABLE;1
HAVE_MLOCKALL;6
NDB_WIN;8
HAVE_SYS_MMAN_H;8
MAX_KEY_LENGTH;1
NUMCC;51
make_atomic_fas_body;1
NDB_SIZEOF_CHAR;1
MYSQL_PORT_DEFAULT;1
HAVE_ISINF;2
OLCUC;1
_POSIX_PTHREAD_SEMANTICS;1
APSTUDIO_INVOKED;2
HAVE_CHARSET_cp1257;1
HAVE_UINT8;1
HAVE_BROKEN_PTHREAD_COND_TIMEDWAIT;2
HAVE_IB_GCC_ATOMIC_BUILTINS_64;1
HAVE_PSI_IDLE_INTERFACE;3
O_TEMPORARY;4
atarist;1
HAS_snprintf_void;3
HAVE_FLOAT_H;1
HAVE_FGETLN;3
MYSQL_OLD_GA_ERROR_MESSAGE_COUNT;1
__NETWARE__;2
LNAMES;1
MY_ATOMIC_MODE_DUMMY;5
HAVE_READDIR_R;3
HAVE_NDIR_H;1
HAVE_SYNCH_H;1
HAVE_CRYPT_H;1
_STANDALONE;7
HAVE_IDENTITY_FUNCS;4
HAVE_PTHREAD_SELF;2
_PASSWORD_LEN;1
alloca;1
HAVE_WEAK_SYMBOL;1
REGEXP;5
PTHREAD_ADAPTIVE_MUTEX_INITIALIZER_NP;2
MAP_NOSYNC;1
HRT_CPUTIME_METHOD;13
__WIN__;179
PSI_TABLE_CALL;1
SO_EXT;4
FIONREAD_IN_SYS_IOCTL;2
AC_APPLE_UNIVERSAL_BUILD;4
HAVE_UNIDATA;1
HAVE_TIMERADD;2
