define;sd
xmlUCSIsBlock;1
xmlTextReaderMoveToNextAttribute;1
xmlUCSIsCatNd;1
xmlParseSDDecl;1
xmlReaderNewWalker;1
xmlCtxtReadIO;1
xmlUCSIsCatNl;1
xmlUCSIsCatNo;1
xmlTextWriterStartPI;1
xmlRegExecNextValues;1
xmlSkipBlankChars;1
xmlValidateNmtokenValue;1
xmlNanoFTPCheckResponse;1
__STRICT_ANSI__;3
xmlXPathHasSameNodes;1
xmlGetNodePath;1
xmlSchemaSetValidStructuredErrors;1
htmlDocContentDumpOutput;1
xmlXPathPopBoolean;1
htmlSAXParseDoc;1
xmlDocDumpMemory;1
xmlIsIdeographic;1
HAVE_POLL_H;13
xmlDumpNotationTable;1
xmlUCSIsLatinExtendedAdditional;1
HAVE_FSCANF;1
xmlRelaxNGValidatePushCData;1
LIBXML_TREE_ENABLED;95
EMFILE;1
MEM_LIST;5
S_ISDIR;8
xmlListRemoveLast;1
__svr4__;2
xmlEncodeEntitiesReentrant;1
EISDIR;1
xmlRemoveProp;1
xmlACatalogDump;1
xmlHashUpdateEntry3;1
xmlHashUpdateEntry2;1
xmlInitThreads;1
DEBUG_GROW;1
xmlSaveSetEscape;1
xmlReadFile;1
xmlXPathWrapNodeSet;1
xmlUCSIsNumberForms;1
xmlStrncmp;1
xmlCatalogGetPublic;1
xmlNanoHTTPRedir;1
xmlBufferSetAllocationScheme;1
xmlSaveFormatFile;1
xmlNanoHTTPEncoding;1
xmlPathToURI;1
bottom_encoding;20
xmlTextWriterWriteDTD;1
xmlSchemaSetParserStructuredErrors;1
NO_LARGEFILE_SOURCE;3
TRIO_INT64_T;2
htmlNodeDump;1
HAVE_BEOS_THREADS;7
xmlParseXMLDecl;1
xmlExpRef;1
xmlNewComment;1
xmlRelaxNGNewValidCtxt;1
xmlParserFindNodeInfo;1
xmlNewEntityInputStream;1
__VMS;11
xmlUCSIsHalfwidthandFullwidthForms;1
xmlValidateNamesValue;1
xmlOutputBufferFlush;1
xmlParseURIReference;1
NOT_USED_YET;2
xmlListSort;1
xmlXPathOrderDocElems;1
xmlUCSIsGurmukhi;1
namePush;1
xmlExpNewSeq;1
TRIO_FREE;1
xmlNodeSetBase;1
TRIO_COMPILER_SUPPORTS_MULTIBYTE;2
xmlTextReaderRelaxNGSetSchema;1
INT_MAX;1
xmlDebugDumpAttr;1
xmlCleanupOutputCallbacks;1
xmlSaveFileEnc;1
xmlXPathFreeCompExpr;1
SORT_NAME;1
xmlDebugDumpOneNode;1
xmlXPathCompile;1
DEBUG_THREADS;2
DEBUG_TYPE;1
xmlTextWriterEndDTDEntity;1
HAVE_ERRNO_H;54
xmlAddRef;1
LIBXML_DLL_IMPORT;3
xmlStrcasestr;1
xmlTextReaderReadState;1
xmlUCSIsHangulSyllables;1
xmlRegFreeExecCtxt;1
xmlTextWriterWriteVFormatDTD;1
xmlXPathObjectCopy;1
TRIO_COMPILER_DECC;29
DEBUG_FTP;2
HAVE_SPRINTF;1
xmlXPathRegisterFuncNS;1
xmlHashQLookup;1
xmlValidateQName;1
_LONG_LONG;1
xmlXPathCompareValues;1
__STDC_IEC_559__;8
xmlUCSIsSyriac;1
xmlDetectCharEncoding;1
xmlSAXParseDoc;1
xmlStrQEqual;1
xmlBuildURI;1
xmlAutomataGetInitState;1
xmlTextReaderGetParserColumnNumber;1
valuePop;1
xmlXPathIntersection;1
xmlNewInputFromFile;1
xmlXPathContainsFunction;1
xmlParseBalancedChunkMemoryRecover;1
xmlGetDtdEntity;1
htmlCtxtUseOptions;1
xmlXPathNodeLeading;1
bottom_chvalid;11
xmlFreeCatalog;1
xmlValidatePushElement;1
xmlMutexLock;1
xmlXIncludeProcessNode;1
LIBXML_XINCLUDE_ENABLED;39
xmlResetError;1
xmlUCSIsArrows;1
xmlListCopy;1
LIBXML_VALID_ENABLED;76
HAVE__STAT;4
xmlUCSIsMusicalSymbols;1
TRIO_COMPILER_SUPPORTS_MSVC_INT;12
valuePush;1
xmlUCSIsLimbu;1
xmlGcMemGet;1
xmlListClear;1
xmlRemoveID;1
xmlShellPwd;1
xmlNewDocPI;1
TRIO_MISC;2
xmlXPathTranslateFunction;1
xmlAutomataNewEpsilon;1
xmlNodeGetSpacePreserve;1
xmlResetLastError;1
xmlXPathRegisterFuncLookup;1
xmlGcMemSetup;1
LIBXML_EXPR_ENABLED;28
xmlXPathIsNaN;1
xmlSchematronNewParserCtxt;1
xmlValidateDtdFinal;1
xmlParseEncName;1
xmlNewInputStream;1
xmlXPathNextAttribute;1
xmlNanoHTTPMethodRedir;1
xmlXPtrEvalRangePredicate;1
htmlAutoCloseTag;1
xmlOutputBufferClose;1
xmlThrDefLoadExtDtdDefaultValue;1
xmlThrDefTreeIndentString;1
xmlListPopFront;1
xmlGetDocCompressMode;1
SPECIFIER_STRING_UPPER;1
xmlDebugDumpDocumentHead;1
xmlOutputBufferCreateBuffer;1
HAVE_LIMITS_H;1
xmlSchemaFreeFacet;1
xmlBufferDetach;1
xmlTextReaderPrefix;1
htmlNodeDumpOutput;1
htmlParseElement;1
bottom_schematron;12
xmlSubstituteEntitiesDefault;1
xmlUCSIsGreek;1
bottom_hash;26
xmlDecodeEntities;1
TEST_POINT;1
xmlNanoHTTPRead;1
xmlXPathRegisterVariableLookup;1
xmlRelaxNGFreeValidCtxt;1
xmlTextWriterWriteComment;1
HAVE_SNPRINTF;1
xmlChildrenNode;1
SPECIFIER_CHAR_UPPER;1
xmlCopyNotationTable;1
xmlNamespaceParseNSDef;1
bottom_xmlschemastypes;33
xmlXPathCastNumberToString;1
STDOUT_FILENO;3
xmlCatalogRemove;1
_S_ISDIR;6
xmlIOFTPMatch;1
DEBUG_TREE;6
_O_BINARY;1
xmlParseReference;1
xmlStrchr;1
xmlNanoHTTPScanProxy;1
xmlTextReaderGetErrorHandler;1
xmlCleanupParser;1
xmlNanoHTTPOpenRedir;1
xmlTextWriterWriteElementNS;1
bottom_xmlstring;32
xmlRelaxNGCleanupTypes;1
xmlStringLenGetNodeList;1
xmlTextReaderLocatorBaseURI;1
xmlSetNsProp;1
xmlMemShow;1
DEBUG_REGEXP_ALGO;1
__BORLANDC__;19
xmlSAXDefaultVersion;1
xmlC14NDocSaveTo;1
__Lynx__;7
xmlCleanupGlobals;1
xmlValidateNotationUse;1
_S_IFMT;1
TRIO_REALLOC;1
xmlGetCompressMode;1
xmlTextWriterWriteFormatPI;1
HAVE_STDINT_H;4
htmlNewDocNoDtD;1
HAVE_PRINTF;1
USE_LONGLONG;7
xmlTextReaderXmlLang;1
S_IFDIR;4
TRIO_PLATFORM_QNX;1
xmlURIEscape;1
htmlDocContentDumpFormatOutput;1
USE_STRCASECMP;2
xmlCreateIOParserCtxt;1
