define;sd
xmlCreateURLParserCtxt;1
EALREADY;1
xmlTextReaderBaseUri;1
xmlDictReference;1
xmlValidateOneNamespace;1
xmlNewTextWriterPushParser;1
xmlReplaceNode;1
xmlRMutexLock;1
xmlXPtrLocationSetDel;1
xmlSetDocCompressMode;1
xmlXPtrNewRange;1
FORMAT_USER_DEFINED;2
LIBXML_PUSH_ENABLED;32
xmlCreatePushParserCtxt;1
xmlXPathMultValues;1
xmlAutomataNewOnceTrans;1
HAVE_PTHREAD_H;29
HAVE_UNISTD_H;13
xmlSchemaDump;1
xmlParseFile;1
LIBXML_REGEXP_ENABLED;101
xmlXPathConvertString;1
xmlParseEndTag;1
xmlCreateEntitiesTable;1
DEBUG_XPATH;1
xmlTextWriterWriteFormatDTDElement;1
RES_USE_INET6;1
xmlUCSIsHanunoo;1
__XML_WSOCKCOMPAT_H__;8
xmlParsePEReference;1
xmlDelEncodingAlias;1
xmlNodeSetContentLen;1
HAVE_SYS_SELECT_H;2
W_OK;1
EACCES;1
signbit;13
xmlSchematronSetValidStructuredErrors;1
DEBUG_READER;3
xmlThrDefPedanticParserDefaultValue;1
xmlSchematronFreeValidCtxt;1
bottom_xmlmodule;6
xmlOutputBufferCreateFile;1
xmlGetBufferAllocationScheme;1
xmlTextWriterStartElementNS;1
XML_SGML_DEFAULT_CATALOG;2
xmlUTF8Strpos;1
xmlDictOwns;1
bottom_tree;161
xmlCharStrdup;1
xmlXPathRegisterNs;1
xmlUCSIsCurrencySymbols;1
xmlSchemaGetFacetValueAsULong;1
bottom_catalog;40
xmlXPathVariableLookupNS;1
xmlXIncludeProcessFlags;1
xmlUTF8Strsub;1
xmlSAX2GetParameterEntity;1
xmlIsMixedElement;1
xmlSAX2HasInternalSubset;1
xmlListDelete;1
xmlGetLastError;1
xmlSchemaValidateFacetWhtsp;1
xmlUCSIsMiscellaneousSymbolsandArrows;1
xmlParserError;1
USE_LOCALE;1
xmlSaveToFilename;1
PyBytes_Check;1
htmlNodeDumpFormatOutput;1
xmlListCreate;1
xmlParseExternalSubset;1
xmlDictCleanup;1
xmlOutputBufferCreateFilenameDefault;1
xmlTextWriterWriteDTDExternalEntity;1
XPTR_XMLNS_SCHEME;1
xmlTextReaderReadInnerXml;1
xmlExpIsNillable;1
xmlValidateNmtokensValue;1
DEBUG_LOADER;1
xmlUCSIsThaana;1
mpeix;1
__HAIKU__;8
__XML_THREADS_H__;1
xmlStrsub;1
xmlNodeSetName;1
EEXIST;1
xmlNewCharEncodingHandler;1
xmlRegisterCharEncodingHandler;1
USE_IEEE_754;20
xmlUCSIsYiRadicals;1
_REENTRANT;3
HAVE___VA_COPY;4
NO_ADDRESS;1
bottom_relaxng;28
xmlCleanupPredefinedEntities;1
xmlSchemaInitTypes;1
xmlRegExecPushString;1
HAVE_SYS_TIME_H;7
HAVE_RAND_R;2
xmlTextWriterStartDocument;1
xmlParseElement;1
xmlUCSIsOriya;1
ENFILE;1
xmlThrDefOutputBufferCreateFilenameDefault;1
xmlParseVersionInfo;1
xmlXPathSubstringBeforeFunction;1
xmlRegisterHTTPPostCallbacks;1
xmlSetTreeDoc;1
xmlXPathNodeSetAddUnique;1
xmlCopyNodeList;1
xmlXPtrNewRangeNodeObject;1
htmlParseCharRef;1
WITH_TRIO;3
xmlSchemaGetPredefinedType;1
xmlUCSIsAegeanNumbers;1
xmlFreeInputStream;1
xmlXPathDistinct;1
xmlDictQLookup;1
SORT_TYPE;1
xmlTextReaderName;1
EINTR;3
xmlCheckUTF8;1
ENOSYS;1
xmlSchemaCopyValue;1
xmlUCSIsSuperscriptsandSubscripts;1
xmlUCSIsOldItalic;1
SPECIFIER_HEXFLOAT_UPPER;1
isinf;7
xmlXPathPopNumber;1
bottom_dict;15
xmlUCSIsEnclosedAlphanumerics;1
__SVR4;2
xmlModuleClose;1
xmlXPathConvertBoolean;1
DEBUG_VALID_ALGO;4
xmlXPathCastBooleanToNumber;1
HAVE_COMPILER_TLS;12
xmlUCSIsIdeographicDescriptionCharacters;1
HOST_NOT_FOUND;3
xmlGetLineNo;1
macintosh;3
xmlSAX2EndElement;1
xmlThrDefRegisterNodeDefault;1
QUALIFIER_PARAM;1
xmlModuleOpen;1
xmlUnlinkNode;1
xmlSAX2InternalSubset;1
xmlSaveSetAttrEscape;1
bottom_valid;82
xmlCreateEntityParserCtxt;1
xmlXPathRegisterVariableNS;1
xmlParserInputBufferCreateStatic;1
bottom_xmlmemory;22
xmlThrDefSaveNoEmptyTags;1
xmlTextReaderGetAttribute;1
xmlNanoFTPGetSocket;1
xmlCopyEntitiesTable;1
xmlKeepBlanksDefault;1
xmlDumpEntityDecl;1
xmlUCSIsSupplementaryPrivateUseAreaB;1
xmlUCSIsSupplementaryPrivateUseAreaA;1
xmlTextReaderCurrentNode;1
xmlNewDoc;1
xmlUCSIsLetterlikeSymbols;1
xmlCatalogLocalResolve;1
xmlXPathNodeTrailingSorted;1
HAVE_DLFCN_H;1
xmlUCSIsCatZp;1
xmlUCSIsCatZs;1
HAVE_SYS_TYPES_H;10
xmlUCSIsCatZl;1
xmlFindCharEncodingHandler;1
xmlACatalogRemove;1
LIBXML_ISO8859X_ENABLED;4
DV_test;1
NULL;1
__alpha;6
xmlAttrSerializeTxtContent;1
xmlUnsetProp;1
xmlListReverseWalk;1
__QNX__;5
__cplusplus;37
htmlFreeParserCtxt;1
xmlUCSIsVariationSelectorsSupplement;1
xmlSetProp;1
XP_OPTIMIZED_NON_ELEM_COMPARISON;6
bottom_entities;20
xmlNodeSetLang;1
xmlXIncludeFreeContext;1
xmlSAX2StartElement;1
DEBUG_ENCODING;4
xmlFreeDoc;1
xmlTextWriterWriteVFormatAttribute;1
TRIO_STRING_PRIVATE;1
xmlParseExternalEntity;1
xmlXPathEvalExpr;1
xmlUCSIsLinearBSyllabary;1
xmlMemoryStrdup;1
xmlParseDocTypeDecl;1
xmlIsBaseChar;1
xmlTextWriterWriteFormatElementNS;1
